journal,author,title,translated year,issue,author name in english,original title,first published year,genre,additional comments
IL,Бухвальд Арт,Посещение парижского кино,1964,5,Art Buchwald,,,,
IL,Бухвальд Арт,Преступником быть не хуже,1964,5,Art Buchwald,,,,
IL,Бухвальд Арт,Багажная квитанция художника-битника,1964,5,Art Buchwald,,,,
IL,Видал Гор,1876: Роман,1986,"4, 5",Gore Vidal,1876,1976,,
IL,Видал Гор,"Вашингон, округ Колумбия: Роман",1968,"11, 12",Gore Vidal,"Washington, D.C.",1967,,
IL,Воннегут Курт,Завтрак для чемпионов: Роман,1975,"1, 2",Kurt Vonnegut,Breakfast of Champions,1973,,
IL,Воннегут Курт,Малый Не Промах: Роман,1986,9,Kurt Vonnegut,Deadeye Dick,1982,,
IL,Вулф Том,Костры амбиций: Роман. ,1991,"10, 11",Tom Wolfe,The Bonfire of the Vanities,1987,,
IL,Вулф Томас,Повести: Паутина,1971,7,Thomas Wolfe,The Web of Earth,1932,,
IL,Вулф Томас,Смерть - гордая сестра,1971,7,Thomas Wolfe,"Death, the Proud Brother",1933,,
IL,Гарднер Джон,Джон Нэппер плывет по вселенной,1976,7,John Gardner,John Napper Sailing Through the Universe,1974,,
IL,Гейнс Эрнест Дж.,И сошлись старики: Роман,1987,8,Ernest J. Gaines,A Gathering of Old Men,1983,,
IL,Герзон Марк,"Герои, которых мы выбираем. Идеал Мужчины — вчера и сегодня: Фрагменты книги",1987,3,Mark Genzon,A Choice of Heroes: The Changing Faces of American Manhood,1982,,
IL,Грау Шерли Энн,Стерегущие дом: Роман,1969,"3, 4",Shirley Ann Grau,The Keepers of the House,1964,,
IL,Грей Лен,Милая старушка из Крикет Крик,1982,10,Len Gray,The Little Old Lady from Cricket Creek,1969,,Ellery Queen’s Mystery Magazine
IL,"Гульотта Гай, Лин Джефф",Кокаиновые короли: Документальная повесть,1991,3,"Guy Gugliotta, Jeff Leen",Kings of Cocaine,1989,,
IL,Дайс Джей,Крупная игра: Роман,1960,1-3,,,,,
IL,Джеймс Генри,Письма Асперна: Повесть,1973,7,Henry James,The Aspern Papers,1888,,
IL,Джексон Шерли,По-маминому: Рассказ,1986,10,Shirley Jackson,Like Mother Used to Make,1949,,
IL,Джонс Джеймс,Только позови: Роман,1982,7- 9,James Jones,Whistle,1978,,
IL,Джордж Элек Эффинджер,В Чужом Облике,1988,12,George Alec Effinger,The Pinch-Hitters,1979,,
IL,Доктороу Э. Л.,Билли Батгейт: Роман,1991,"6, 7",E. L. Doctorow,Billy Bathgate,1989,,
IL,Доктороу Э. Л.,Рэгтайм: Роман,1978,"9, 10",E. L. Doctorow,Ragtime,1975,,
IL,Донливи Джеймс Патрик,Кама грядеши,1981,11,J. P. Donleavy,Wither Wigwams,1964,,
IL,Донливи Джеймс Патрик,Два письма,1981,11,J. P. Donleavy,Dear Sylvia! Dear Hugo!,1964,,
IL,Донливи Джеймс Патрик,Кодекс без изъятий и сокращений. Полный свод прав.ил выживания и поведения в обществе,1978,6,J. P. Donleavy,The Unexpurgated Code: A Complete Manual of Survival & Manners,1975,,
IL,Доннел К. М.,Гибкая позиция,1981,5,Barry N. Malzberg/K. M. O'Donnell,A Question of Slant,1971,,
IL,Драйер Стэн,Покорение монумента Вашингтону,1983,1,,,,,
IL,"Дуглас Натан Е., Смит Гарольд Дж.",Не склонившие головы: Киносценарий,1960,6,"Nathan E. Douglas, Harold Jacob Smith",The Defiant Ones,1958,,
IL,Дэвидоу Майк,Орлы и голуби: Повесть,1986,7,Mike  Davidow,The Eagle-Doves,,,
IL,Дэвидсон Аврам,Булыжники Саратога-стрит,1978,1,Avram Davidson,The Cobblestones of Saratoga Street,1964,,
IL,Ирвинг Джон,До Айовы рукой подать: Рассказ,1987,4,John Irving,Almost in Iowa,1973,,
IL,Казинс Норман,Врачующее сердце: Отрывки из книги,1985,7,Norman Cousins,The Healing Heart: Antidotes to Panic and Helplessness,1983,,
IL,Капоте Трумэн,Гость на празднике,1976,7,Truman Capote,The Thanksgiving Visitor,1967,,
IL,Капоте Трумэн,Обыкновенное убийство: документальная повесть,1966,2-4,Truman Capote,In Cold Blood: A True Account of a Multiple Murder and Its Consequences,1966,,
IL,Капоте Трумэн,Самодельные гробики: Документальный рассказ об одном американском  преступлении,1982,9,Truman Capote,Handcarved Coffins: A Nonfiction Account of an American Crime,1981,,
IL,Кауфман Бел,Вверх по ведущей вниз лестнице: Повесть,1967,6,Bel Kaufman,Up the Down Staircase,1964,,
IL,Кауфман Бел,"Искусство рассказчика, вызывающее смех, слезы, раздумье",1979,1,Bel Kaufman,,,,
IL,Кауфман Джордж С.,Спокойная тревога,1988,5,George S. Kaufman,,,,
IL,Квирк Джон,Победители без лавров: Главы из романа,1968,"7, 8",,,,,
IL,Керуак Джек,На дороге. (Рассказы): Мексиканочка,1960,10,Jack Kerouac,On The Road. Part 1,1957,,
IL,Керуак Джек,Джаз разбитого поколения,1960,10,Jack Kerouac,On The Road,1957,,
IL,Килленз Джон Оливер,И тогда мы услышали гром: Роман,1965,4-6,John Oliver Killens,And Then We Heard the Thunder,1962,,
IL,Кинг Стивен,Мертвая зона: Роман,1984,1-3,Stephen King,The Dead Zone,1979,,
IL,Колдуэлл Эрскин,Дженни: Роман,1962,12,Erskine Caldwell,,,,
IL,Колдуэлл Эрскин,Рассказы с Мексиканского залива: Рачушки,1957,10,Erskine Caldwell,,,,
IL,Колдуэлл Эрскин,Ради Нелли,1957,10,Erskine Caldwell,,,,
IL,Колдуэлл Эрскин,На рыбалку,1957,10,Erskine Caldwell,,,,
IL,Колдуэлл Эрскин,Подарок для Сью,1957,10,Erskine Caldwell,,,,
IL,Колдуэлл Эрскин,У нас дома: Роман,1963,"10, 11",Erskine Caldwell,,,,
IL,Колдуэлл Эрскин,Шальные деньги,1955,2,Erskine Caldwell,,,,
IL,Колдуэлл Эрскин,Из гущи людской,1955,2,Erskine Caldwell,,,,
IL,Колдуэлл Эрскин,Джо Крэмок и его старуха,1955,2,Erskine Caldwell,,,,
IL,Колдуэлл Эрскин,Ве­чер в Нуэво-Леоне,1955,2,Erskine Caldwell,,,,
IL,Колдуэлл Эрскин,Теплая река,1955,2,Erskine Caldwell,Warm River,1933,,
IL,Ладлэм Роберт,Бумага Мэтлока: Роман,1985,"1, 2",Robert Ludlum,The Matlock Paper,1973,,
IL,Лакёр Уолтер,«Купить в Москве книгу...»,1989,4,Walter Laqueur,,,,
IL,Лакёр Уолтер,Монолог в Москве. Из книги «Долгий путь к свободе»,1990,2,Walter Laqueur,The Long Road to Freedom: Russia and Glasnost,1989,,
IL,Лакёр Уолтер,Наставники Гитлера: Главы из книги «Россия и Германия»,1991,5,Walter Laqueur,Russia and Germany: A Century of Conflict,1965,,
IL,Леви Ньюман,Волшебник крестный,1983,10,Newman Levy,Cedric's Fairy Godfather,1958,,
IL,Леннон Альберт,Корни,1964,11,,,,,
IL,Ли Харпер,Убить пересмешника: Роман,1963,"3, 4",Harper Lee,To Kill a Mockingbird,1960,,
IL,Лоусон Джон Говард,Чудеса в гостиной: Пьеса в 3-х актах,1962,11,John Howard Lawson,Parlor Magic,1962,,
IL,Макграт Томас,...кроме последнего: Роман,1987,"11, 12",Thomas McGrath,This Coffin Has No Handles,1984,,"first title was «All But the Last» in 1950, novel was never published under it. First published in North Dakota Quarterly, later 1988 hardcover edition published by Thunder's Mouth Press (New York City). "
IL,Макинерни Джей,"Яркие огни, большой город: Роман",1991,2,Jay McInerney,"Bright Lights, Big City",1984,,
IL,Максуэлл Уильям,С любовью и преданностью,1969,5,William Maxwell,,,,
IL,Макферсон Джеймс Алан,Золотой берег,1970,3,James Alan McPerson,Gold Coast,1968,,first published in the Atlantic
IL,Мальц Альберт,Картины,1962,7,Albert Maltz,,,,
IL,Мальц Альберт,Однажды в январе: Повесть,1985,5,Albert Maltz,A Tale of One January,1966,,wasn't published in the USA
IL,Мальц Альберт,Смех звонкий как колокольчик,1956,9,Albert Maltz,,,,
IL,Мастерс Декстер,Несчастный случай:Роман,1957,4-6,Dexter Masters,The Accident,1955,,
IL,Миллер Артур,Вид с моста: Пьеса,1957,4,Arthur Miller,A View from the Bridge,1955,,
IL,Миллер Артур,Цена: Драма в 2-х д.,1968,6,Arthur Miller,The Price,1968,,
IL,Миллер Артур,Часы Америки: Пьеса,1988,11,Arthur Miller,The American Clock,1980,,
IL,Миллер Артур,Это случилось в Виши: Пьеса,1965,7,Arthur Miller,Incident at Vichy,1964,,
IL,Миллер Генри,Размышление о писательстве,1991,8,Arthur Miller,My Life and Times,1971,,
IL,Миллер Генри,Тропик Рака: Роман,1990,"7, 8",Arthur Miller,Tropic of Cancer,1934,,
IL,Миэн Томас,11 talento mysterioso,1981,10,,,,,
IL,Миэн Томас,Ничего личного,1981,10,,,,,
IL,Новые американские рассказы,чекнуть выпуск,1958,8,,,,,
IL,Нолан Уильям Ф.,Ну и денек!,1982,7,William F. Nolan,One of Those Days,1962,,
IL,Нэдлер Мэгги,Последнее новшество,1981,7,Maggie Nadler,The Latest Feature,1972,,
IL,Нэш Огден,Незнакомец в доме: Рассказ,1976,11,,,,,
IL,О'Хара Джон,Быстротечная слава мистера Сеймура Гаррисбурга,1958,8,John O'Hara,The public career of Mr. Seymour Harrisburg,1933,,
IL,О'Хара Джон,Дело Локвудов: Роман,1972,8-10,John O'Hara,The Lockwood Concern,1965,,
IL,О'Хара Джон,Разговор во время обеда,1978,10,John O'Hara,,1944,,
IL,Огден Крис,Мэгги. Интимный портрет женщины у власти: Главы из книги,1991,4,Chris Ogden,Maggie: An Intimate Portrait of a Woman in Power,1990,,
IL,Олби Эдвард,Все в саду:Пьеса в 2-х д.,1969,1,Edward Albee,Everything in the Garden,1967,,
IL,Олби Эдвард,Смерть Бесси Смит: Пьеса в 8 карт.,1964,6,Edward Albee,The Death of Bessie Smith,1960,,
IL,Оутс Джойс Кэрол,Священный брак: Рассказ,1983,9,Joyce Carol Oates,The Sacred Marriage,1972,,
IL,Оутс Джойс Кэрол,Стыд,1973,12,Joyce Carol Oates,Shame,1970,,
IL,Оутс Джойс Кэрол,Тяжкое  бремя  плоти,1973,12,Joyce Carol Oates,The Heavy Sorrow of the Body,1970,,
IL,Оутс Джойс Кэрол,Ты хоть раз поскользнулся в луже красной крови?,1973,12,Joyce Carol Oates,Did You Ever Slip on Red Blood?,1972,,
IL,Парди Джеймс,Острый угол,1969,5,James Purdy,Cutting Edge ,1957,,
IL,Паркер Дороти,"Но тот, что справа...",1981,10,Dorothy Parker,But the One on the Right,1929,,
IL,Паркер Дороти,Перед рассветом,1984,1,Dorothy Parker,,,,
IL,Пирсон Эдмунд,По заслугам,1977,7,Edmund Pearson,,,,
IL,Плакта Дэнни,Оживили... ,1981,7,,,,,
IL,Помрой Уильям,Приказ,1968,4,,,,,
IL,Помрой Уильям,Флора,1968,4,,,,,
IL,Портер Кэтрин Энн,"Бледный конь, бледный всадник: Новелла",1979,1,Katherine Anne Porter,"Pale Horse, Pale Rider",1937,,
IL,Портер Кэтрин Энн,Как была брошена бабушка Вэзеролл,1976,7,Katherine Anne Porter,The Jilting of Granny Weatherall,1929,,
IL,Портер Кэтрин Энн,Падающая башня: Повесть,1990,3,Katherine Anne Porter,The Leaning Tower,1941,,
IL,Рассел Рэй,Комната,1981,7,Ray Russell,The Room,1961,,
IL,Ренз Доналд,Межпланетное авторское право,1977,7,,,,,
IL,Рид Кит,Синьор да В.:Рассказ,1987,7,Kit Reed,Mr. da V.,1962,,
IL,Салливен Фрэнк,"Нет, нет и еще раз нет! и др. рассказы",1985,12,,,,,
IL,Салливэн Фрэнк,Признания:  Рассказ,1979,4,,,,,
IL,Салливэн Фрэнк,Рассказы: Букет дружб,1978,8,,,,,
IL,Салливэн Фрэнк,Почетная маруха,1978,8,,,,,
IL,Сароян Уильям,Весь снят и сами небеса,1958,8,William Saroyan,,,,
IL,Сароян Уильям,Читатель «Всемирного альманаха»,1958,8,William Saroyan,,,,
IL,Сароян Уильям,Вы когда-нибудь влюблялись в крошку?: Рассказ,1977,1,William Saroyan,,,,
IL,Сароян Уильям,Разве сегодня не  тот самый  день?,1984,6,William Saroyan,,,,
IL,Сароян Уильям,"Три, четыре, пять, вышел зайчик погулять",1956,10,William Saroyan,,,,
IL,Сароян Уильям,Гений,1956,10,William Saroyan,,,,
IL,Сетон Томпсон Эрнест,Пижон среди ковбоев: Глава из автобиографии,1980,6,,,,,
IL,Слезар Генри,День экзамена,1981,7,,,,,
IL,Смит Патрик Дэвис,В поисках  русского  медведя:  Фрагменты  книги,1984,11,,,,,
IL,Смит Патрик Дэвис,"Энджел-Сити, или Ангельский город: Роман",1981,2,,,,,
IL,Стайрон Уильям,Безмолвный прах: Фрагменты книги,1986,7,William Styron,This Quiet Dust,1982,,
IL,Стайрон Уильям,Долгий марш,1967,7,William Styron,The Long March,1952,,
IL,Стайрон Уильям,Софи делает выбор: Главы из романа,1981,1,William Styron,Sophie's Choice,1979,,
IL,Стейнбек Джон,Жемчужина: Повесть,1956,12,John Steinbeck,The Pearl,1947,,
IL,Стейнбек Джон,Зима тревоги нашей: Роман,1962,1-3,John Steinbeck,The Winter of Our Discontent,1961,,
IL,Стейнбек Джон,Происшествие в доме № 5 по улице М,1958,8,John Steinbeck,The Affair at 7 Rue de M.,1955,,
IL,Стейнбек Джон,Путешествие с Чарли в поисках Америки: Избранные главы,1963,3,John Steinbeck,Travels with Charley: In Search of America,1962,,
IL,Стивенсон Джеймс,Проект Билли,1977,6,,,,,
IL,Стоун Роберт,В зеркалах: Роман,1973,4-6,Robert Stone,A Hall of Mirrors,1966,,
IL,Стоун Роберт,Флаг на заре: Роман,1986,"1, 2",Robert Stone,A Flag for Sunrise,1981,,
IL,Сэлинджер Дж. Д.,Над пропастью во ржи: Роман,1960,11,J. D. Salinger,The Catcher in the Rye,1951,,
IL,Сэлинджер Дж. Д.,Тэттди: Рассказ,1982,10,J. D. Salinger,Teddy,1953,,
IL,Тайлер Энн,Обед в ресторане «Тоска по дому»: Роман,1985,"9, 10",,,,,
IL,Твен Марк,Вечно новый Марк Твен: Интервью «простака». Марк Твен - гость Сент-Луиса,1979,3,,,,,
IL,Твен Марк,Говорит Марк Твен,1979,3,,,,,
IL,Твен Марк,Марк Твен и Киплинг,1979,3,,,,,
IL,Твен Марк,Марк Твен в Лондоне,1979,3,,,,,
IL,Твен Марк,Умирение Сатаны,1979,3,,,,,
IL,Твен Марк,Из эссеистики,1985,1,,,,,
IL,Твен Марк,"Раосказы: История Мэйми Грант, девочки-миссионера",1983,4,,,,,
IL,Твен Марк,Ферма пре­подобного Генри Уорда Бичера,1983,4,,,,,
IL,Твен Марк,Творческие порывы двухлетних ост­ряков,1983,4,,,,,
IL,Твен Марк,Эта невообразимая русская баня,1983,4,,,,,
IL,Твен Марк,Рассказы: Политическая экономия,1984,3,,,,,
IL,Твен Марк,Восстановление аппетита,1984,3,,,,,
IL,Твен Марк,Три тысячи лет среди микробов: К 150-летию со дня рождения. Фрагменты повести,1985,11,,,,,
IL,Тенн Уильям,Недуг,1967,1,,,,,
IL,Теркел Стадс,«Хорошая война». Устная история второй мировой войны: Фрагменты книги,1985,"5, 10",Studs Terkel,The Good War: An Oral History of World War II,1984,,
IL,"Тэрбер Джеймс, УАЙТ Э. Б.",Можно ли об этом говорить родителям?,1978,10,James Thurber,,,,
IL,Тэрбер Джеймс,От чего страдает человечество?,1968,8,James Thurber,,,,
IL,Тэрбер Джеймс,Рассказы: Вечер у драматурга,1976,10,James Thurber,,,,
IL,Тэрбер Джеймс,Женщина в западне,1976,10,James Thurber,,,,
IL,Тэрбер Джеймс,Единорог в са­ду,1976,10,James Thurber,,,,
IL,Тэрбер Джеймс,Исход Эммы Метр,1976,10,James Thurber,,,,
IL,Тэрбер Джеймс,Рассказы: Одним апрельским днем,1980,5,James Thurber,,,,
IL,Тэрбер Джеймс,Спрятаться в ящике,1980,5,James Thurber,,,,
IL,Тэрбер Джеймс,Есть что сказать,1980,5,James Thurber,,,,
IL,Тэрбер Джеймс,"Собака, которая кусала людей",1979,2,James Thurber,,,,
IL,Уайлдер Торнтон,Теофил Норт: Роман,1976,6-8,Thornton Wilder,Theophilus North,1973,,
IL,Уилсон Митчел,"Брат мой, враг мой: Роман",1956,2-4,Mitchell A. Wilson,"My Brother, My Enemy, part 1",1952,,
IL,Уилсон Митчел,Встреча на далеком меридиане: Роман,1961,1-4,Mitchell A. Wilson,Meeting at a far meridian,1961,,
IL,Уилсон Митчел,"Дэви Мэллори: Вторая книга романа «Брат мой, враг мой»",1959,"6, 7",Mitchell A. Wilson,"My Brother, My Enemy, part 2",1956,,
IL,Уилсон Ричард,Подвижник Гарри - виновник «утечки умов»: Рассказ,1985,,Richard Wilson,"Harry Protagonist, Brain-Drainer",1965,,
IL,Уильямс Теннесси,Орфей спускается в ад: Драма в 3-х д.,1960,7,Tennessee Williams,Orpheus Descending ,1957,,
IL,Уильямс Теннесси,Рассказы: Поле голубых детей,1978,3,Tennessee Williams,The Field of Blue Children,1939,,
IL,Уильямс Теннесси,Поздравляю с десятым августом!,1978,3,Tennessee Williams,Happy August the Tenth,1974,,
IL,Уормсер Ричард,Пан Сатирус в космосе: Фантастическая повесть,1966,"1, 2",,,,,
IL,Уортон Эдит,Слишком ранний рассвет: Рассказ,1984,12,,,,,
IL,Фантастические рассказы,чекнуть номер,1962,3,,,,,
IL,Фаст Говард,История Лолы Грегг,1956,11,Howard Fast,The Story of Lola Gregg,1956,,
IL,Фаст Говард,Христос в Куэрнаваке,1955,5,Howard Fast,Christ in Cuernavaca,1955,,
IL,Фейфер Джулиус,Убийство в Белом доме: Пьеса в 2-х д.,1970,11,Jules Feiffer,The White hHouse Murder Case,1970,,
IL,Фицджеральд Френсис Скотт,Как финансировали Финнегана,1980,2,F. Scott Fitzgerald,Financing Finnegan,1938,,
IL,Фицджеральд Френсис Скотт,Опять Вавилон,1976,7,F. Scott Fitzgerald,Babylon Revisited,1931,,
IL,Фицджеральд Френсис Скотт,Последний магнат: Роман,1977,"1, 2",F. Scott Fitzgerald,The Last Tycoon,1941,,
IL,Фицджеральд Френсис Скотт,Рассказы о Голливуде: «Вскипятите воды и побольше»,1978,7,F. Scott Fitzgerald,Boil Some Water - Lots of It,1940,,
IL,Фицджеральд Френсис Скотт,По следу Пата Хобби,1978,7,F. Scott Fitzgerald,On the Trail of Pat Hobby,1941,,
IL,Фицджеральд Френсис Скотт,Пат Хобби играет роль,1978,7,F. Scott Fitzgerald,Pat Hobby Does His Bit,1940,,
IL,Фолкнер Уильям,«Падение дома Компсонов»,1973,"1, 2",William Faulkner,,,,
IL,Фолкнер Уильям,Дым,1957,12,William Faulkner,,,,
IL,Фолкнер Уильям,Когда я умирала: Повесть,1990,8,William Faulkner,As I lay dying,1930,,
IL,Фолкнер Уильям,Осквернитель праха: Роман,1968,"1, 2",William Faulkner,,,,
IL,Фолкнер Уильям,Особняк: Роман,1961,9-12,William Faulkner,,,,
IL,Фолкнер Уильям,Победа,1956,1,William Faulkner,,,,
IL,Фолкнер Уильям,Поджигатель,1958,8,William Faulkner,,,,
IL,Фолкнер Уильям,Шум и ярость: Роман,1973,"1, 2",William Faulkner,,,,
IL,Фостер Алан Дин, На суд зрителей: Рассказ,1987,7,,,,,
IL,Фэллоу Л. М.,Собиратели пуговиц,1981,1,L. M. Fallaw,The Ugglian,1956,,
IL,Хаджинс Барбара,Курс психологии для библиотечных работников,1977,7,,,,,
IL,Халберстэм Дэвид,Один очень жаркий день: (Роман,1969,6,David Halberstam,One Very Hot Day,1967,,
IL,Хаммер Арманд,Хаммер: Главы из книги. (При участии Нейла Линдона),1988,"2, 3",Armand Hammer,Hammer,1988,,
IL,Хейли Артур,Аэропорт: Роман,1971,8-10,Arthur Hailey,Airport,1968,,
IL,Хеллер Джозеф,Что-то случилось: Главы из книги,1978,4,Joseph Heller,Something Happened,1974,,
IL,Хемингуэй Эрнест,Зеленые холмы Африки: Главы из книги,1959,7,Ernest Hemingway ,Green Hills of Africa,1935,,
IL,Хемингуэй Эрнест,Ночь перед боем,1964,2,Ernest Hemingway ,Night Before Battle,1939,,
IL,Хемингуэй Эрнест,Нужна собака-поводырь,1958,8,Ernest Hemingway ,Get a Seeing-Eyed Dog,1957,,
IL,Хемингуэй Эрнест,О писательстве,1973,6,Ernest Hemingway ,On Writing,1972,,
IL,Хемингуэй Эрнест,Опасное лето: Главы из новой книги,1961,2,Ernest Hemingway ,The Dangerous Summer,1960,,
IL,Хемингуэй Эрнест,Острова в океане: Роман,1970,"11, 12",Ernest Hemingway ,Islands in the Stream,1970,,
IL,Хемингуэй Эрнест,"Праздник, который всегда с тобой. (Страницы автобиографии)",1964,7,Ernest Hemingway ,A Moveable Feast,1964,,
IL,Хемингуэй Эрнест,Разоблачение,1963,8,Ernest Hemingway ,The Denunciation,1938,,
IL,Хемингуэй Эрнест,Старик и море: Повесть,1955,3,Ernest Hemingway ,The Old Man and the Sea,1952,,
IL,Хови Тамара,Стремления маленькой  мошки: Повесть,1969,"11, 12",,,,,
IL,Хок Эдвард Д.,Самый лучший зоопарк: Рассказ,1985,11,Edward D. Hoch,Zoo,1958,,
IL,Хьюз Лэнгстон,Его последний роман,1964,5,Langston Hughes,,,,
IL,Хьюз Лэнгстон,Симпл предъявляет счет. (Рассказы): Гольф и гуф,1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,С благоразумной неторопливостью,1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,Право и здравый смысл,1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,Похороны Джи­ма Кроу,1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,Неделя белой истории,1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,Цвет кожи у них на уме,1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,Лицо и раса,1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,Скетч для телевидения,1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,Двух сторон мало,1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,При чем тут сочувствие,1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,"Косточки, бомбы, куриные горлышки",1958,12,Langston Hughes,,,,
IL,Хьюз Лэнгстон,Помирать так с музыкой,1958,12,Langston Hughes,,,,
IL,Хэммет Дэшил,106 Тысяч за Голову,1988,7,Dashiell Hammett,"$106,000 Blood Money",1927,,
IL,Хэммет Дэшил,Большой Налет,1988,7,Dashiell Hammett,The Big Knockover,1948,,
IL,Хэнсберри Лорейн,Изюминка на солнце: Драма в 3-х актах,1959,11,Lorraine Hansberry,A Raisin in the Sun,1959,,
